peribahasa,maksud,penjelasan,contohAyat
"air jernih, ikannya jinak",Negeri yang aman dan penduduknya baik-baik belaka.,Air yang jernih menunjukkan keadaan bersih dan menarik. Di situ ikan-ikan yang hidup dikatakan jinak pula. Keadaan ini menunjukkan bahawa kawasan yang berair itu menarik dan mempunyai ciri-ciri yang menyenangkan.,"Pada masa pemerintahan Sultan Alaudin Riayat Syah, Melaka menjadi aman dan rakyat hidup dalam tenteram. Keadaan itu dikatakan air jernih, ikannya jinak."
air keruh limbat keluar,"Negeri yang huru-hara, orang jahat akan berleluasa.",Limbat ialah sejenis ikan darat yang tidak bersisik serta mempunyai sengat. Ikan ini gemar mencari makan di dalam air yang keruh.,"Setelah tentera Jepun keluar dari Tanah Melayu, anggota-anggota MPAJA mengambil kesempatan untuk membalas dendam kepada tali barut Jepun dan menganiaya rakyat yang tidak berdosa, air keruh, limbat keluar."
air lalu kubangan tohor,Upah atau wang yang diterima habis dibelanjakan atau digunakan untuk membayar hutang.,"Kubangan atau kubang ialah lopak tempat kerbau berendam. Air lalu atau mengalir di kawasan kubang yang tohor atau cetek dikatakan tidak dapat bertakung, terus mengalir keluar.","Beginilah kalau hidup miskin dan tanggungan pula banyak, wang gaji hanya sebagai air lalu kubangan tohor."
air mata jatuh ke perut,Kesedihan yang disimpan tanpa diketahui oleh orang lain.,"Orang yang menangis biasanya air mata berlinangan di pipi dan mudah dilihatoleh orang lain. Tetapi apabilaair mata jatuh ke perut, orang yang menangis sahaja yang tahu akan kesedihannya.",Hasnah terpaksa menanggung pelbagai penderitaan sejak ditinggalkan oleh suaminya kerana tiada sesiapa pun yang tahu bahawa hidupnya bagai air mata jatuh ke perut.
"air mudik sungai, semua teluk habis diranai",Orang yang baru menerima keuntungan atau kemewahan akan menjadi boros dan ingin membeli semua barang.,Air mudik sungai menunjukkan air pasang atau musim banjir. Keadaan ini menyebabkan semua teluk atau kawasan yang agak rendah dan apa-apa sahaja yang ada habis ditenggelami.,"Menteri Kewangan sering mengingatkan para pekerja yang baru menerima bonus hari raya agar jangan menjadi seperti air mudik sungai, semua teluk habis diranai."
"air orang disauk, ranting orang dipatah, adat orang diikut",Patuh akan undang-undang tempat kita mencari rezeki.,"Sekiranya kita berada di tempat orang, pastinya kita akan menyauk atau menggunakan air kepunyaan orang di situ. Begitu juga kita akan mematahkan ranting orang untuk kegunaan sendiri, misalnya untuk dijadikan kayu api. Semua milik orang kita gunakan. Oleh itu, semua adat resam di tempat kita tinggal itu terpaksa kita ikut.","Pendatang asing yang datang ke negara ini untuk bekerja diingatkan agar patuh akan segala peraturan dan undang-undang tempatan kerana air orang disauk, ranting orang dipatah, adat orang diikut."
air pun ada pasang surutnya,Keadaan pangkat atau kekayaan seseorang itu tidak tetap begitu selama-lamanya.,Air sama ada di laut atau di sungai dikatakan parasnya sentiasa berubah. Kadang-kadang pasang dan ada kalanya surut.,"Jangan terlalu bangga akan kemewahan yang dikecapi di dunia ini kerana kekayaan itu boleh hilang bila-bila masa sahaja, air pun ada pasang surutnya."
"air sama air, sampah ke tepi jua","Jika kita mencampuri perbalahan dalam keluarga orang lain, apabila mereka berbaik-baik semula kita akan tetap tersisih.","Jika air bercampur dengan sampah, kedua-duanya tetap dianggap dua benda yang berbeza. Tidak mungkin sampah dianggap air dan air dianggap sampah.","""Usahlah engkau berbangga kerana dapat bersahabat dengan keluarga Datuk Jusoh yang sedang bersengketa itu kerana apabila mereka berbaik-baik semula, engkau akan tersisih, air sama air, sampah ke tepi jua,"" kata Nordin kepada Sulaiman."
"air setitik dilautkan, tanah sekepal digunungkan",Membesar-besarkan perkara yang kecil.,Air setitik amat sedikit tetapi dijadikan amat banyak seperti laut manakala tanah sekepal itu dibesarkan sehingga setinggi gunung.,"""Jangan engkau membesar-besarkan perselisihan faham antara suami isteri itu, air setitik dilautkan, tanah sekepal digunungkan,"" pinta Kalsom kepada Norlisa."
"air surut kapar hilir bersama, air pasang ia sangkut",Dalam usaha yang tidak menguntungkan diajak bersama-sama tetapi apabila usaha itu berhasil dia ditinggalkan.,"Ketika air surut, sedikit kapar atau sampah sarap dihanyutkan ke hilir bersama-sama air. Namun, apabila air pasang atau banyak, sampah tidak dihanyutkan tetapi tersangkut pula.","Ketika hendak meneroka tanah hutan itu, Penghulu Lamin mengajak orang kampung bergotong-royong tetapi setelah mendapat hasil, dia membuat permohonan kepada kerajaan bahawa tanah itu milik keluarganya, air surut kapar hilir bersama, air pasang ia sangkut."
air susu dibalas dengan air tuba,Kebaikan dibalas dengan kejahatan.,"Air susu merupakan minuman yang enak dan berzat. Jika kita diberi susu, pemberian itu merupakan sesuatu yang berharga. Sebaliknya klau air susu dibalas dengan tuba, iaitu sejenis racun hal ini bermakna orang yang membalas itu tidak tahu mengenang budi dan tidak berperikemanusiaan.","Kak Kiah membiayai anak-anak saudaranya melanjutkan pelajaran. Namun setelah berjaya, mereka bukan sahaja tidak membalas jasa, malahan menuduh wanita itu menolong mereka kerana harta pusaka. Begitulah kalau air susu dibalas dengan air tuba."
"air tawar secawan dituang ke dalam laut, takkan dapat menghilangkan masinnya",Pertolongan yang sedikit tidak dapat meringankan beban sengsara yang besar.,"Air yang tawar hanya ada secawan, kalau dituangkan ke dalam laut tentulah air yang secawan itu tidak mendatangkan apa-apa kesan. Kemasinan air laut yang sangat banyak itu pasti tidak akan terjejas.","Pemberian dua tin biskut serta beberapa tin susu untuk Mak Bidah hanya bagai air tawar secawan dituangkan ke dalam laut, takkan dapat menghilangkan masinnya kerana tidak mungkin dapat meringankan beban keluarganya yang dianggap termiskin di kampung itu."
air tenang jangan disangka tiada buaya,Orang pendiam jangan disangka bodoh dan penakut.,"Orang selalu menyangka bahawa air yang tenang selamat untuk berenang atau mandi-manda, sedangkan air yang tenang itu biasanya dalam dan menjadi tempat buaya bersarang.","Cikgu Jamilah sering mengingatkan murid-muridnya agar tidak membuli Amin kerana walaupun pendiam, namun dia tidak bodoh atau penakut, air tenang jangan disangka tiada buaya."
air tenang menghanyutkan,Orang pendiam mampu melakukan pekerjaan yang berat dan sukar.,"Meskipun air dalam keadaan tenang, namun air itu dapat juga menghanyutkan sesuatu benda yang ada di dalamnya.",Nadia yang pendiam itu telah berjaya menyelesaikan semua masalah matematik yang gagal dijawab oleh kawan-kawannya. Mereka tidak menyangka bahawa air tenang menghanyutkan.
air titik ke batu,Amat sukar mengajar atau menasihati orang yang jahat dan degil.,Air yang menitik pada batu tidak akan memberikan apa-apa kesan. Air itu tidak mungkin dapat menyerap ke dalam batu yang keras itu. Apatah lagi kalau jangka masa air menitik itu singkat.,Mengajar Awang Nik ilmu agama bagaikan air titik ke batu kerana dia tidak akan menerimanya.
air yang dingin juga dapat memadamkan api,Kata-kata yang lemah lembut sahaja yang dapat menyejukkan hati orang yang sedang marah atau berdendam.,"Api yang sedang membakar tidak mungkin akan padam dengan mencampakkan pelbagai benda yang keras kerana hal ini akan menjadikan lebih marak. Oleh itu, hanya air yang lembut dan sejuk dapat melemahkan dan memadamkan api tersebut.","Ayah yang sedang menyinga kerana kenakalan anak-anak, menjadi tenang setelah ibu memujuknya dengan kata-kata yang lemah lembut, air yang dingin juga yang dapat memadamkan api."
"air yang keruh-keruh kerak, alamat buaya di hulunya",Perkataan seseorang itu membayangkan niat buruknya.,Sekiranya nampak air sungai keruh dan mempunyai kerak atau kepingan lumpur serta sampah sarap menandakan di hulu sungai itu terdapat buaya sedang berenang. Oleh itu hendaklah berhati-hati.,"Hanisah berasa bimbang apabila mengingati kata-kata Fahmi yang seakan-akan mengugutnya itu kerana air yang keruh-keruh kerak, alamat buaya di hulunya."
akal akar berpulas tak patah,Orang yang pintar tidak mudah kalah dalam bersoal jawab atau berbahas.,Akal ialah buah fikiran. Akar pula bermaksud bahagian tumbuhan yang ada di dalam tanah. Batang pokok yang melilit juga dikenal sebagai akar. Akar yang berpulas-pulas atau berbentuk seperti spring sukar untuk dipatahkan kerana lebih anjal.,"Walaupun Said bukan lulusan undang-undang namun tidak ada orang yang sanggup bersoal jawab dengannya yang sangat bijak mencari fakta dan hujahnya sentiasa bernas, akal akar berpulas tak patah."
